"AIRPORT","n_rows","event_days","high_impact_days","avg_lf_pct","avg_event_lf_pct","avg_non_event_lf_pct","event_uplift_pct_pts","weekday_adjusted_event_excess","avg_high_impact_lf_pct","high_impact_uplift_pct_pts","weekday_adjusted_high_impact_excess","t_stat","p_value","event_names"
"NAV","573","114","19","82.19","82.27","82.17","0.1","-0.44","81.55","-0.66","-1.59","0.118","0.906352","Yılbaşı ; Ramazan Bayramı 1. Gün | Ramazan Bayramı 2. Gün | Ramazan Bayramı 3. Gün ; Ramazan Bayramı 2. Gün | Ramazan Bayramı 3. Gün"
"NBE","1","0","0","80.9",,"80.9",,,,,,,,""
"NBJ","42","0","0","24.43",,"24.43",,,,,,,,""
"NBO","574","0","0","81.76",,"81.76",,,,,,,,""
"NCE","573","0","0","81.2",,"81.2",,,,,,,,""
"NDJ","267","0","0","47.56",,"47.56",,,,,,,,""
"NIM","309","0","0","31.3",,"31.3",,,,,,,,""
"NJF","20","0","0","46.41",,"46.41",,,,,,,,""
"NKC","553","0","0","46.7",,"46.7",,,,,,,,""
"NKT","569","0","0","90.1",,"90.1",,,,,,,,""
"NOP","513","0","0","79.36",,"79.36",,,,,,,,""
"NQZ","574","0","0","84.72",,"84.72",,,,,,,,""
"NRT","574","0","0","87.06",,"87.06",,,,,,,,""
"NSI","466","0","0","44.21",,"44.21",,,,,,,,""
"NUE","573","0","0","75.42",,"75.42",,,,,,,,""
"OGU","572","0","0","84.94",,"84.94",,,,,,,,""
"OHD","147","0","0","59.39",,"59.39",,,,,,,,""
"ONQ","246","0","0","65.79",,"65.79",,,,,,,,""
"OPO","574","0","0","79.72",,"79.72",,,,,,,,""
"ORD","574","5","0","84.7","90.73","84.65","6.08","5.67",,,,"5.382","0.005761","The Venue at Horseshoe Casino Ticket + Hotel Deals ; Balloon Museum | EmotionAir - Art You Can Feel - FLEX TICKET - Chicago ; 2026 Tempest Season Ticket"
"ORN","410","0","0","77.94",,"77.94",,,,,,,,""
"OSL","574","0","0","80",,"80",,,,,,,,""
"OTP","574","0","0","81.53",,"81.53",,,,,,,,""
"OUA","551","0","0","17.57",,"17.57",,,,,,,,""
"OUL","1","0","0","39.07",,"39.07",,,,,,,,""
"PEK","575","0","0","89.06",,"89.06",,,,,,,,""
"PMO","423","0","0","76.29",,"76.29",,,,,,,,""
"PNR","240","0","0","27.74",,"27.74",,,,,,,,""
"PRG","574","0","0","81.58",,"81.58",,,,,,,,""
"PRN","571","0","0","71.38",,"71.38",,,,,,,,""
"PTY","573","0","0","43.09",,"43.09",,,,,,,,""
"PVG","574","0","0","90.53",,"90.53",,,,,,,,""
"PZU","166","0","0","70.49",,"70.49",,,,,,,,""
"RAK","568","0","0","75.41",,"75.41",,,,,,,,""
"REC","1","0","0","0",,"0",,,,,,,,""
"RIX","574","0","0","81.72",,"81.72",,,,,,,,""
"RMO","574","0","0","82.88",,"82.88",,,,,,,,""
"RUH","574","0","0","71.11",,"71.11",,,,,,,,""
"RVN","87","0","0","57.28",,"57.28",,,,,,,,""
"RZV","571","0","0","78.16",,"78.16",,,,,,,,""
"SAW","161","22","5","0.55","4.03","0","4.03","4.03","0","-0.57","0","1","0.328695","Ramazan Bayramı 1. Gün | Ramazan Bayramı 2. Gün | Ramazan Bayramı 3. Gün ; Ramazan Bayramı 2. Gün | Ramazan Bayramı 3. Gün ; Ramazan Bayramı 3. Gün"
"SCL","574","0","0","61.15",,"61.15",,,,,,,,""
"SCO","107","0","0","49.35",,"49.35",,,,,,,,""
"SCP","1","0","0","0",,"0",,,,,,,,""
"SDQ","1","0","0","47.79",,"47.79",,,,,,,,""
"SEA","546","0","0","82.73",,"82.73",,,,,,,,""
"SEZ","168","0","0","77.35",,"77.35",,,,,,,,""
"SFO","574","0","0","84.01",,"84.01",,,,,,,,""
"SGN","574","0","0","88.1",,"88.1",,,,,,,,""
"SIN","574","0","0","67.99",,"67.99",,,,,,,,""
"SJJ","573","0","0","76.98",,"76.98",,,,,,,,""
"SKD","574","0","0","82.79",,"82.79",,,,,,,,""
"SKG","572","0","0","73.76",,"73.76",,,,,,,,""
"SKP","569","0","0","74.63",,"74.63",,,,,,,,""
"SKT","1","0","0","91.8",,"91.8",,,,,,,,""
"SLC","3","0","0","48.71",,"48.71",,,,,,,,""
"SNN","1","0","0","0",,"0",,,,,,,,""
"SOF","574","0","0","83.46",,"83.46",,,,,,,,""
"SSH","560","0","0","73.39",,"73.39",,,,,,,,""
"STN","133","12","0","76.54","83.4","75.86","7.53","7.23",,,,"2.876","0.012196","UK & IRELAND CHRO ; NEW DESIGNERS ; NEW DESIGNERS | SECURING FINANCIAL SERVICES | SECURING THE LAW FIRM"
"STR","574","0","0","78.67",,"78.67",,,,,,,,""
"SUB","2","0","0","149.7",,"149.7",,,,,,,,""
"SVG","2","0","0","0",,"0",,,,,,,,""
"SVO","1","0","0","46.24",,"46.24",,,,,,,,""
"SVQ","290","0","0","65.89",,"65.89",,,,,,,,""
"SXZ","201","0","0","89.16",,"89.16",,,,,,,,""
"SYD","574","0","0","66.08",,"66.08",,,,,,,,""
"SYZ","305","0","0","61.57",,"61.57",,,,,,,,""
"SZF","572","114","19","80.96","81","80.95","0.06","0.03","75.8","-5.33","-5.41","0.073","0.941816","Yılbaşı ; Ramazan Bayramı 1. Gün | Ramazan Bayramı 2. Gün | Ramazan Bayramı 3. Gün ; Ramazan Bayramı 2. Gün | Ramazan Bayramı 3. Gün"
"SZG","563","0","0","76.15",,"76.15",,,,,,,,""
"TAS","574","0","0","83.23",,"83.23",,,,,,,,""
"TBS","574","0","0","80.14",,"80.14",,,,,,,,""
"TBZ","258","0","0","61.54",,"61.54",,,,,,,,""
"TEQ","7","0","0","94.09",,"94.09",,,,,,,,""
"TGD","571","0","0","73.12",,"73.12",,,,,,,,""
"TIA","187","0","0","79.92",,"79.92",,,,,,,,""
"TIF","205","0","0","73.01",,"73.01",,,,,,,,""
"TIV","356","0","0","77.86",,"77.86",,,,,,,,""
"TJK","553","0","0","85.53",,"85.53",,,,,,,,""
"TLL","566","0","0","78.67",,"78.67",,,,,,,,""
"TLS","572","0","0","85.38",,"85.38",,,,,,,,""
"TNR","214","0","0","14.7",,"14.7",,,,,,,,""
"TPE","574","0","0","84.86",,"84.86",,,,,,,,""
"TRN","558","0","0","73.85",,"73.85",,,,,,,,""
"TRS","1","0","0","0",,"0",,,,,,,,""
"TRV","2","0","0","143.26",,"143.26",,,,,,,,""
"TSR","65","0","0","63.99",,"63.99",,,,,,,,""
"TUN","573","0","0","78.58",,"78.58",,,,,,,,""
"TZL","1","0","0","43.71",,"43.71",,,,,,,,""
