"AIRPORT","n_rows","event_days","high_impact_days","avg_lf_pct","avg_event_lf_pct","avg_non_event_lf_pct","event_uplift_pct_pts","weekday_adjusted_event_excess","avg_high_impact_lf_pct","high_impact_uplift_pct_pts","weekday_adjusted_high_impact_excess","t_stat","p_value","event_names"
"FIH","357","0","0","63.54",,"63.54",,,,,,,,""
"FLL","2","0","0","45.56",,"45.56",,,,,,,,""
"FMO","4","0","0","0",,"0",,,,,,,,""
"FNA","487","0","0","46.25",,"46.25",,,,,,,,""
"FRA","574","6","0","79.57","86.05","79.51","6.54","7.15",,,,"10.662","2E-06","OPTATEC ; Dynamite – Ponyhof Club Nightevent ; Catch my Vibe – Ponyhof Club Nightevent | IAL Football - Stuttgart Stallions vs. England Eruptors | MAINZ | Old but Gold Ü30 Hip Hop Boat Party @ AF Mary Roos | STUTTGART | Old but Gold Ü30 HipHop Open Air+Aftershowparty/ Ginuwine"
"FRU","223","0","0","83.23",,"83.23",,,,,,,,""
"GDL","1","0","0","98.67",,"98.67",,,,,,,,""
"GIG","2","0","0","68.59",,"68.59",,,,,,,,""
"GNJ","20","0","0","35.19",,"35.19",,,,,,,,""
"GNY","572","113","19","85.97","87.24","85.66","1.58","1.27","82.44","-3.65","-4.09","1.771","0.078196","Yılbaşı ; Ramazan Bayramı 1. Gün | Ramazan Bayramı 2. Gün | Ramazan Bayramı 3. Gün ; Ramazan Bayramı 2. Gün | Ramazan Bayramı 3. Gün"
"GOT","570","0","0","74.33",,"74.33",,,,,,,,""
"GRU","574","0","0","35.67",,"35.67",,,,,,,,""
"GVA","574","0","0","68.39",,"68.39",,,,,,,,""
"GYD","574","0","0","79.87",,"79.87",,,,,,,,""
"GZP","562","0","0","79.21",,"79.21",,,,,,,,""
"GZT","573","114","19","85.56","85.45","85.59","-0.14","0.11","80.68","-5.05","-4.75","-0.199","0.842688","Yılbaşı ; Ramazan Bayramı 1. Gün | Ramazan Bayramı 2. Gün | Ramazan Bayramı 3. Gün ; Ramazan Bayramı 2. Gün | Ramazan Bayramı 3. Gün"
"HAJ","571","0","0","77.02",,"77.02",,,,,,,,""
"HAM","574","7","0","81","87.69","80.92","6.77","5.02",,,,"3.62","0.011103","FUNDI-CLUBNACHTS-JAHRESKARTE ; Honey Slam HAMBURG - Poetryslam ohne traurige Texte! ; Bash Comedy auf St. Pauli"
"HAN","574","0","0","89.22",,"89.22",,,,,,,,""
"HAV","281","0","0","64.68",,"64.68",,,,,,,,""
"HBE","566","0","0","70.17",,"70.17",,,,,,,,""
"HEL","573","0","0","83.35",,"83.35",,,,,,,,""
"HER","1","0","0","0",,"0",,,,,,,,""
"HKG","560","0","0","89.19",,"89.19",,,,,,,,""
"HKT","386","0","0","88.8",,"88.8",,,,,,,,""
"HND","574","0","0","90.26",,"90.26",,,,,,,,""
"HRG","488","0","0","67.13",,"67.13",,,,,,,,""
"HSA","117","0","0","75.21",,"75.21",,,,,,,,""
"HTY","538","111","19","87.38","86.1","87.71","-1.61","-2.09","83.57","-3.95","-5.13","-1.805","0.072704","Yılbaşı ; Ramazan Bayramı 1. Gün | Ramazan Bayramı 2. Gün | Ramazan Bayramı 3. Gün ; Ramazan Bayramı 2. Gün | Ramazan Bayramı 3. Gün"
"IAD","573","0","0","84.57",,"84.57",,,,,,,,""
"IAH","573","0","0","86.1",,"86.1",,,,,,,,""
"IBZ","1","0","0","46.84",,"46.84",,,,,,,,""
"ICN","574","0","0","88.25",,"88.25",,,,,,,,""
"IFN","310","0","0","64.78",,"64.78",,,,,,,,""
"IGD","560","0","0","90.95",,"90.95",,,,,,,,""
"IKA","396","0","0","76.62",,"76.62",,,,,,,,""
"ISB","570","0","0","84.74",,"84.74",,,,,,,,""
"ISE","377","76","17","75.21","79.27","74.19","5.08","4.15","77.47","2.37","2.92","3.823","0.000213","Yılbaşı ; Ramazan Bayramı 1. Gün | Ramazan Bayramı 2. Gün | Ramazan Bayramı 3. Gün ; Ramazan Bayramı 2. Gün | Ramazan Bayramı 3. Gün"
"ISK","1","0","0","0",,"0",,,,,,,,""
"ISL","93","0","0","0",,"0",,,,,,,,""
"IST","575","134","19","81.23","81.92","81.02","0.9","0.48","79.65","-1.63","-2.41","2.95","0.003471","Yılbaşı ; Ramazan Bayramı 1. Gün | Ramazan Bayramı 2. Gün | Ramazan Bayramı 3. Gün ; Ramazan Bayramı 2. Gün | Ramazan Bayramı 3. Gün"
"ISU","95","0","0","64.06",,"64.06",,,,,,,,""
"JED","574","0","0","78.64",,"78.64",,,,,,,,""
